player,position,team,birth_year,minutes_90s,tackles,tackles_won,blocks,interceptions,clearances
Filip Đuričić,MF,Serbia,1992,0.2,0,0,0,0,0
Firas Al-Buraikan,MF,Saudi Arabia,2000,3,3,3,5,2,4
Fodé Ballo-Touré,DF,Senegal,1997,0.1,0,0,1,0,0
Fran Karačić,DF,Australia,1996,1,2,1,2,2,3
Francisco Calvo,DF,Costa Rica,1992,2,7,4,3,2,2
Fred,MF,Brazil,1993,1.6,3,3,1,0,3
Frenkie de Jong,MF,Netherlands,1997,5.3,12,5,6,6,3
Félix Torres Caicedo,DF,Ecuador,1997,3,2,2,3,4,10
Gabriel Jesus,FW,Brazil,1997,1,2,1,0,2,0
Garang Kuol,FW,Australia,2004,0.4,0,0,0,1,0
Gareth Bale,FW,Wales,1989,2.5,1,1,1,1,1
Gavi,MF,Spain,2004,3.2,8,4,3,1,2
Gaël Ondoua,MF,Cameroon,1995,0.5,2,1,1,2,0
Georges-Kévin N'Koudou,FW,Cameroon,1995,0.3,0,0,0,0,0
Germán Pezzella,DF,Argentina,1991,0.7,0,0,0,0,0
Gerson Torres,MF,Costa Rica,1997,0.7,0,0,1,0,0
Ghaylène Chaalali,MF,Tunisia,1994,0.2,0,0,1,2,1
Gideon Mensah,DF,Ghana,1998,1,1,1,1,2,5
Gio Reyna,FW,United States,2002,0.6,0,0,1,0,0
Giorgian De Arrascaeta,MF,Uruguay,1994,1.2,3,1,1,2,1
Gleison Bremer,DF,Brazil,1997,1.2,1,1,1,1,6
Gonzalo Montiel,DF,Argentina,1997,1.3,3,2,1,1,1
Gonzalo Plata,MF,Ecuador,2000,3,3,2,3,2,0
Gonçalo Ramos,FW,Portugal,2001,1.7,1,1,0,0,2
Granit Xhaka,MF,Switzerland,1992,4,6,4,3,2,7
Gregor Kobel,GK,Switzerland,1997,1,0,0,0,0,0
Grzegorz Krychowiak,MF,Poland,1990,3.7,9,4,5,5,4
Guido Rodríguez,MF,Argentina,1994,0.6,2,0,1,0,1
Guillermo Ochoa,GK,Mexico,1985,3,0,0,0,0,0
Guillermo Varela,DF,Uruguay,1993,2,3,2,1,3,1
Haji Wright,FW,United States,1998,1.5,2,0,0,0,1
Hakim Ziyech,FW,Morocco,1993,7.1,10,7,10,10,4
Hannibal Mejbri,MF,Tunisia,2003,0.1,1,0,0,1,0
Haris Seferović,FW,Switzerland,1992,0.8,0,0,2,0,0
Harry Kane,FW,England,1993,4.5,2,1,2,0,5
Harry Maguire,DF,England,1993,4.8,7,3,4,4,18
Harry Souttar,DF,Australia,1998,4,4,0,7,6,22
Harry Wilson,MF,Wales,1997,1.8,4,2,1,1,3
Hassan Al Tambakti,DF,Saudi Arabia,1999,2,4,2,3,3,6
Hassan Al-Haydos,MF,Qatar,1990,2.3,4,1,0,2,1
Hattan Bahebri,MF,Saudi Arabia,1992,0,0,0,0,0,0
Henry Martín,FW,Mexico,1992,1.6,1,1,2,2,1
Hernán Galíndez,GK,Ecuador,1987,3,0,0,0,0,0
Hidemasa Morita,MF,Japan,1995,3.2,0,0,9,3,4
Hiroki Ito,DF,Japan,1999,0.5,0,0,0,0,0
Hiroki Sakai,MF,Japan,1990,1.3,5,4,2,1,8
Hirving Lozano,FW,Mexico,1995,2.8,7,2,4,0,1
Homam Ahmed,DF,Qatar,1999,2.9,2,2,0,2,1
Hong Chul,DF,Korea Republic,1990,0.5,0,0,2,1,1
Hossein Hosseini,GK,IR Iran,1992,1.8,0,0,0,0,0
Hossein Kanaanizadegan,DF,IR Iran,1994,0.5,0,0,1,1,2
Hugo Lloris,GK,France,1986,6.3,0,0,0,0,3
Hwang Hee-chan,MF,Korea Republic,1996,1.3,1,1,0,0,0
Hwang In-beom,MF,Korea Republic,1996,3.7,4,3,1,3,2
Hwang Ui-jo,FW,Korea Republic,1992,1.2,0,0,0,0,1
Héctor Herrera,MF,Mexico,1990,1.8,4,3,1,3,0
Héctor Moreno,DF,Mexico,1988,3,2,1,2,1,4
Ibrahima Konaté,DF,France,1999,3.3,15,6,5,7,16
Idrissa Gana Gueye,MF,Senegal,1989,3,2,1,3,5,3
Ilias Chair,MF,Morocco,1997,0.5,1,0,0,0,0
Iliman Ndiaye,FW,Senegal,2000,1.5,0,0,2,1,0
Ismail Jakobs,DF,Senegal,1999,3.1,0,0,3,4,14
Ismail Mohamad,FW,Qatar,1990,1.9,,2,,2,
Ismaila Sarr,FW,Senegal,1998,3.8,4,2,2,2,1
Ismaël Koné,MF,Canada,2002,1.2,0,0,0,0,0
Issam Jebali,FW,Tunisia,1991,2,3,3,1,0,3
Ivan Ilić,MF,Serbia,2001,0.4,0,0,0,1,0
Ivan Perišić,FW,Croatia,1989,7.4,7,4,9,7,12
Iñaki Williams,FW,Ghana,1994,3,4,2,3,0,2
Jack Grealish,FW,England,1995,1,3,1,2,3,1
Jackson Irvine,MF,Australia,1993,3.9,4,2,7,3,8
Jackson Porozo,DF,Ecuador,2000,1.1,2,2,1,3,4
Jakub Kamiński,MF,Poland,2002,2.6,6,1,4,0,2
Jakub Kiwior,DF,Poland,2000,3.9,2,1,4,4,15
Jamal Musiala,MF,Germany,2003,2.9,1,1,3,1,0
Jamie Maclaren,FW,Australia,1993,0.6,0,0,0,1,0
Jan Bednarek,DF,Poland,1996,0.1,0,0,0,0,0
Jan Vertonghen,DF,Belgium,1987,3,0,0,2,5,12
Jason Cummings,FW,Australia,1995,0.4,0,0,0,0,0
Jawad El Yamiq,DF,Morocco,1992,3.4,4,2,6,5,17
Jean-Charles Castelletto,DF,Cameroon,1995,2,3,3,2,6,12
Jeong Woo-yeong,MF,Korea Republic,1999,0.5,0,0,0,0,1
Jeremy Doku,MF,Belgium,2002,0.2,0,0,0,0,0
Jeremy Sarmiento,MF,Ecuador,2002,0.9,2,1,0,1,0
Jerome Ngom Mbekeli,MF,Cameroon,1998,0.1,0,0,0,0,1
Jesper Lindstrøm,MF,Denmark,2000,2.2,1,1,4,1,1
Jesús Ferreira,FW,United States,2000,0.5,1,0,0,0,0
Jesús Gallardo,DF,Mexico,1994,3,9,5,5,1,10
Jewison Bennette,MF,Costa Rica,2004,1.1,0,0,2,0,0
Jhegson Méndez,MF,Ecuador,1997,2,2,2,4,1,1
Joachim Andersen,DF,Denmark,1996,3,4,2,2,0,12
Joakim Mæhle,DF,Denmark,1997,2.8,9,5,7,2,6
Joe Allen,MF,Wales,1990,1,1,1,1,1,4
Joe Morrell,MF,Wales,1997,0.4,3,2,2,1,0
Joe Rodon,DF,Wales,1997,3,2,2,2,4,13
Joel Campbell,FW,Costa Rica,1992,3,9,5,3,0,4
Johan Venegas,FW,Costa Rica,1988,0.8,0,0,0,0,2
John Stones,DF,England,1994,4.8,2,2,3,1,8
Jonas Hofmann,FW,Germany,1992,0.3,0,0,2,0,0
Jonathan David,FW,Canada,2000,2.1,1,1,0,0,0
Jonathan Osorio,MF,Canada,1992,1.3,2,1,0,1,1
Jordan Ayew,FW,Ghana,1991,1.5,3,3,0,1,1
Jordan Henderson,MF,England,1990,3,4,2,3,1,0
Jordan Morris,FW,United States,1994,0,0,0,0,0,0
Jordan Pickford,GK,England,1994,5,0,0,0,0,2
Jordan Veretout,MF,France,1993,0.7,2,0,0,0,2
Jordi Alba,DF,Spain,1989,2.9,6,4,2,3,2
Jorge Eduardo Sánchez,DF,Mexico,1997,1.9,1,0,2,3,8
Josh Sargent,FW,United States,2000,1.7,0,0,1,1,0
Joshua Kimmich,MF,Germany,1995,3,5,2,6,3,1
Josip Juranović,DF,Croatia,1995,6.7,12,8,5,3,15
Josip Stanišić,DF,Croatia,2000,1,3,3,0,1,0
Josip Šutalo,DF,Croatia,2000,1,0,0,1,0,5
José Cifuentes,MF,Ecuador,1999,0.7,2,2,1,0,1
José María Giménez,DF,Uruguay,1995,3,4,1,6,7,11
João Cancelo,DF,Portugal,1994,3.4,7,3,1,2,8
João Félix,FW,Portugal,1999,3.7,4,2,0,1,1
João Mário,FW,Portugal,1993,0.9,2,1,2,0,0
João Palhinha,MF,Portugal,1995,0.4,2,1,1,1,1
Joško Gvardiol,DF,Croatia,2002,7.7,9,6,8,11,37
Juan Foyth,DF,Argentina,1998,0.1,0,0,0,0,0
Juan Pablo Vargas,DF,Costa Rica,1995,1,4,3,0,2,10
Jude Bellingham,MF,England,2003,4.6,16,15,10,5,0
Jules Koundé,DF,France,1998,5.3,11,8,7,5,8
Julián Álvarez,FW,Argentina,2000,5.2,4,2,8,0,3
Jung Woo-young,MF,Korea Republic,1989,3.4,5,4,3,3,7
Junior Hoilett,FW,Canada,1990,1.8,8,4,0,1,0
Junya Ito,MF,Japan,1993,3.6,7,4,4,5,6
Jurriën Timber,DF,Netherlands,2001,4.3,12,6,1,10,13
Kai Havertz,FW,Germany,1999,1.1,1,1,0,1,0
Kalidou Koulibaly,DF,Senegal,1991,4,12,9,4,2,30
Kalvin Phillips,MF,England,1995,0.5,0,0,0,0,1
Kamal Miller,DF,Canada,1997,3,6,4,1,4,11
Kamaldeen Sulemana,FW,Ghana,2002,0.6,0,0,0,0,2
Kamil Glik,DF,Poland,1988,4,2,1,2,3,23
Kamil Grosicki,MF,Poland,1988,0,0,0,0,0,0
Kaoru Mitoma,MF,Japan,1997,1.8,7,2,4,2,5
Karim Ansarifard,FW,IR Iran,1990,0.4,0,0,1,1,0
Karim Boudiaf,MF,Qatar,1990,2.1,2,1,0,0,3
Karl Toko Ekambi,FW,Cameroon,1992,1.8,1,1,1,2,0
Karol Świderski,FW,Poland,1997,0.5,4,1,0,2,0
Kasper Dolberg,FW,Denmark,1997,1.3,1,1,0,0,1
Kasper Schmeichel,GK,Denmark,1986,3,0,0,0,0,0
Keanu Baccus,MF,Australia,1998,1.3,1,1,5,2,1
Kellyn Acosta,MF,United States,1995,0.5,3,2,0,0,0
Kendall Waston,DF,Costa Rica,1988,2.5,7,4,2,5,14
Kenneth Taylor,MF,Netherlands,2002,0.1,0,0,0,0,0
Kevin De Bruyne,FW,Belgium,1991,3,1,1,2,0,3
Kevin Rodríguez,FW,Ecuador,2000,0,,0,,0,
Kevin Álvarez,DF,Mexico,1999,0.8,1,0,2,1,2
Keylor Navas,GK,Costa Rica,1986,3,1,0,0,1,2
Keysher Fuller,DF,Costa Rica,1994,2.8,4,4,2,3,9
Kieffer Moore,FW,Wales,1992,2.5,1,0,3,2,7
Kieran Trippier,DF,England,1990,2.3,6,4,3,1,4
Kim Jin-su,DF,Korea Republic,1992,3.5,10,5,2,3,5
Kim Min-jae,DF,Korea Republic,1996,3,2,1,5,2,8
Kim Moonhwan,DF,Korea Republic,1995,4,9,4,3,4,16
Kim Seung-gyu,GK,Korea Republic,1990,4,0,0,0,2,2
Kim Young-gwon,DF,Korea Republic,1990,3.9,3,2,3,3,11
Kingsley Coman,FW,France,1996,1.9,3,2,3,2,1
Ko Itakura,DF,Japan,1997,3,9,5,1,4,16
Koke,MF,Spain,1992,0.6,1,1,0,0,0
Kristijan Jakić,FW,Croatia,1997,0,0,0,0,0,0
Krystian Bielik,MF,Poland,1998,2.4,5,3,1,5,6
Krzysztof Piątek,FW,Poland,1995,0.3,0,0,0,0,0
Krépin Diatta,FW,Senegal,1999,2,0,0,1,0,0
Kudus Mohammed,FW,Ghana,2000,2.7,5,4,4,1,0
Kwon Chang-hoon,FW,Korea Republic,1994,0.6,1,0,0,0,0
Kwon Kyung-won,DF,Korea Republic,1992,1,0,0,1,2,5
Kye Rowles,DF,Australia,1998,4,8,2,9,7,16
Kyle Walker,DF,England,1990,2.6,3,1,2,3,3
Kylian Mbappé,FW,France,1998,6.6,0,0,0,0,0
Lautaro Martínez,FW,Argentina,1997,2.7,0,0,1,1,0
Lawrence Ati-Zigi,GK,Ghana,1996,3,0,0,0,0,0
Leander Dendoncker,DF,Belgium,1995,1.8,6,3,4,0,5
Leandro Paredes,MF,Argentina,1994,2.5,10,4,0,3,4
Leandro Trossard,FW,Belgium,1994,1.1,1,1,1,0,0
Lee Jae-sung,MF,Korea Republic,1992,2.3,5,2,3,3,2
Lee Kangin,MF,Korea Republic,2001,1.6,4,3,0,0,0
Leon Goretzka,MF,Germany,1995,1.8,5,3,1,1,0
Leroy Sané,FW,Germany,1996,1.2,1,1,2,0,1
Liam Millar,DF,Canada,1999,0.1,0,0,0,0,0
Lionel Messi,FW,Argentina,1987,7.7,5,3,2,0,0
Lisandro Martínez,DF,Argentina,1998,3.4,6,2,3,3,14
Lovro Majer,MF,Croatia,1998,1.4,3,1,1,0,2
Loïs Openda,FW,Belgium,2000,0.1,1,0,1,0,0
Lucas Cavallini,FW,Canada,1992,0.2,0,0,0,0,0
Lucas Hernández,DF,France,1996,0.1,1,1,0,0,0
Lucas Paquetá,MF,Brazil,1997,3.5,7,5,5,2,4
Luis Chávez,MF,Mexico,1996,3,1,0,6,1,3
Luis Suárez,FW,Uruguay,1987,1.6,1,0,0,0,2
Luka Jović,FW,Serbia,1997,0.4,0,0,1,1,0
Luka Modrić,MF,Croatia,1985,7.3,16,10,4,10,3
Lukas Klostermann,DF,Germany,1996,0.7,3,1,0,0,1
Luke Shaw,DF,England,1995,4.7,3,1,2,4,5
Luuk de Jong,FW,Netherlands,1990,0.6,2,1,0,0,1
Majid Hosseini,DF,IR Iran,1996,3,7,4,3,6,11
Manuel Akanji,DF,Switzerland,1995,4,4,2,4,3,12
Manuel Neuer,GK,Germany,1986,3,0,0,0,0,0
Marcelo Brozović,MF,Croatia,1992,6.1,13,7,13,4,7
Marco Asensio,FW,Spain,1996,2.5,1,1,1,0,0
Marcos Acuña,DF,Argentina,1991,4.1,12,8,8,2,9
Marcos Llorente,DF,Spain,1995,1.3,0,0,0,0,0
Marcus Rashford,FW,England,1997,1.6,1,0,2,1,1
Marcus Thuram,FW,France,1997,1.7,3,2,2,0,2
