player,position,team,birth_year,minutes_90s,goals,shots,shots_on_target
Granit Xhaka,MF,Switzerland,1992,4,0,6,3
Gregor Kobel,GK,Switzerland,1997,1,0,0,0
Grzegorz Krychowiak,MF,Poland,1990,3.7,0,1,0
Guido Rodríguez,MF,Argentina,1994,0.6,0,0,0
Guillermo Ochoa,GK,Mexico,1985,3,0,0,0
Guillermo Varela,DF,Uruguay,1993,2,0,0,0
Haji Wright,FW,United States,1998,1.5,1,6,2
Hakim Ziyech,FW,Morocco,1993,7.1,1,10,2
Hannibal Mejbri,MF,Tunisia,2003,0.1,0,0,0
Haris Seferović,FW,Switzerland,1992,0.8,0,1,0
Harry Kane,FW,England,1993,4.5,2,10,5
Harry Maguire,DF,England,1993,4.8,0,6,1
Harry Souttar,DF,Australia,1998,4,0,1,0
Harry Wilson,MF,Wales,1997,1.8,0,2,0
Hassan Al Tambakti,DF,Saudi Arabia,1999,2,0,0,0
Hassan Al-Haydos,MF,Qatar,1990,2.3,0,1,1
Hattan Bahebri,MF,Saudi Arabia,1992,0,0,0,0
Henry Martín,FW,Mexico,1992,1.6,1,4,2
Hernán Galíndez,GK,Ecuador,1987,3,0,0,0
Hidemasa Morita,MF,Japan,1995,3.2,0,3,1
Hiroki Ito,DF,Japan,1999,0.5,0,0,0
Hiroki Sakai,MF,Japan,1990,1.3,0,1,0
Hirving Lozano,FW,Mexico,1995,2.8,0,6,3
Homam Ahmed,DF,Qatar,1999,2.9,0,0,0
Hong Chul,DF,Korea Republic,1990,0.5,0,0,0
Hossein Hosseini,GK,IR Iran,1992,1.8,0,0,0
Hossein Kanaanizadegan,DF,IR Iran,1994,0.5,0,0,0
Hugo Lloris,GK,France,1986,6.3,0,0,0
Hwang Hee-chan,MF,Korea Republic,1996,1.3,1,6,5
Hwang In-beom,MF,Korea Republic,1996,3.7,0,6,1
Hwang Ui-jo,FW,Korea Republic,1992,1.2,0,1,0
Héctor Herrera,MF,Mexico,1990,1.8,0,0,0
Héctor Moreno,DF,Mexico,1988,3,0,1,0
Ibrahima Konaté,DF,France,1999,3.3,0,2,1
Idrissa Gana Gueye,MF,Senegal,1989,3,0,4,1
Ilias Chair,MF,Morocco,1997,0.5,0,0,0
Iliman Ndiaye,FW,Senegal,2000,1.5,0,2,0
Ismail Jakobs,DF,Senegal,1999,3.1,0,1,0
Ismail Mohamad,FW,Qatar,1990,1.9,0,2,2
Ismaila Sarr,FW,Senegal,1998,3.8,1,10,1
Ismaël Koné,MF,Canada,2002,1.2,0,0,0
Issam Jebali,FW,Tunisia,1991,2,0,3,1
Ivan Ilić,MF,Serbia,2001,0.4,0,0,0
Ivan Perišić,FW,Croatia,1989,7.4,1,16,4
Iñaki Williams,FW,Ghana,1994,3,0,2,0
Jack Grealish,FW,England,1995,1,1,1,1
Jackson Irvine,MF,Australia,1993,3.9,0,3,0
Jackson Porozo,DF,Ecuador,2000,1.1,0,1,0
Jakub Kamiński,MF,Poland,2002,2.6,0,4,1
Jakub Kiwior,DF,Poland,2000,3.9,0,1,0
Jamal Musiala,MF,Germany,2003,2.9,0,12,3
Jamie Maclaren,FW,Australia,1993,0.6,0,0,0
Jan Bednarek,DF,Poland,1996,0.1,0,0,0
Jan Vertonghen,DF,Belgium,1987,3,0,2,0
Jason Cummings,FW,Australia,1995,0.4,0,0,0
Jawad El Yamiq,DF,Morocco,1992,3.4,0,2,1
Jean-Charles Castelletto,DF,Cameroon,1995,2,1,1,1
Jeong Woo-yeong,MF,Korea Republic,1999,0.5,0,1,0
Jeremy Doku,MF,Belgium,2002,0.2,0,0,0
Jeremy Sarmiento,MF,Ecuador,2002,0.9,0,1,1
Jerome Ngom Mbekeli,MF,Cameroon,1998,0.1,0,0,0
Jesper Lindstrøm,MF,Denmark,2000,2.2,0,3,1
Jesús Ferreira,FW,United States,2000,0.5,0,0,0
Jesús Gallardo,DF,Mexico,1994,3,0,1,0
Jewison Bennette,MF,Costa Rica,2004,1.1,0,1,0
Jhegson Méndez,MF,Ecuador,1997,2,0,0,0
Joachim Andersen,DF,Denmark,1996,3,0,4,1
Joakim Mæhle,DF,Denmark,1997,2.8,0,2,0
Joe Allen,MF,Wales,1990,1,0,2,0
Joe Morrell,MF,Wales,1997,0.4,0,0,0
Joe Rodon,DF,Wales,1997,3,0,0,0
Joel Campbell,FW,Costa Rica,1992,3,0,1,0
Johan Venegas,FW,Costa Rica,1988,0.8,0,0,0
John Stones,DF,England,1994,4.8,0,4,1
Jonas Hofmann,FW,Germany,1992,0.3,0,1,1
Jonathan David,FW,Canada,2000,2.1,0,8,1
Jonathan Osorio,MF,Canada,1992,1.3,0,1,0
Jordan Ayew,FW,Ghana,1991,1.5,0,1,1
Jordan Henderson,MF,England,1990,3,1,2,1
Jordan Morris,FW,United States,1994,0,0,0,0
Jordan Pickford,GK,England,1994,5,0,0,0
Jordan Veretout,MF,France,1993,0.7,0,0,0
Jordi Alba,DF,Spain,1989,2.9,0,2,0
Jorge Eduardo Sánchez,DF,Mexico,1997,1.9,0,1,1
Josh Sargent,FW,United States,2000,1.7,0,4,1
Joshua Kimmich,MF,Germany,1995,3,0,7,4
Josip Juranović,DF,Croatia,1995,6.7,0,1,0
Josip Stanišić,DF,Croatia,2000,1,0,1,0
Josip Šutalo,DF,Croatia,2000,1,0,0,0
José Cifuentes,MF,Ecuador,1999,0.7,0,1,1
José María Giménez,DF,Uruguay,1995,3,0,3,0
João Cancelo,DF,Portugal,1994,3.4,0,2,1
João Félix,FW,Portugal,1999,3.7,1,11,3
João Mário,FW,Portugal,1993,0.9,0,0,0
João Palhinha,MF,Portugal,1995,0.4,0,1,0
Joško Gvardiol,DF,Croatia,2002,7.7,1,2,1
Juan Foyth,DF,Argentina,1998,0.1,0,0,0
Juan Pablo Vargas,DF,Costa Rica,1995,1,1,2,2
Jude Bellingham,MF,England,2003,4.6,1,5,3
Jules Koundé,DF,France,1998,5.3,0,4,1
